,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
9159,"(17, 17791825)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-7,18.894443627691185,8,3,4
9160,"(17, 17791826)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,11.6619037896906,5,4,2
9161,"(17, 17791826)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-7,18.894443627691185,8,3,4
9162,"(17, 17791827)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,11.180339887498947,4,4,2
9163,"(17, 17791827)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-7,18.894443627691185,8,3,4
9164,"(17, 17791828)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,11.180339887498947,4,4,2
9165,"(17, 17791828)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-7,18.894443627691185,8,3,4
9166,"(17, 17791829)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,11.180339887498947,4,4,2
9167,"(17, 17791829)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-7,18.894443627691185,8,3,4
9168,"(17, 17791830)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,3,10.770329614269007,4,4,2
9169,"(17, 17791830)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,18.894443627691185,8,3,4
9170,"(17, 17791831)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,11.180339887498947,4,4,2
9171,"(17, 17791831)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,18.894443627691185,8,3,4
9172,"(17, 17791832)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,10.770329614269007,4,4,2
9173,"(17, 17791832)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,18.894443627691185,8,3,4
9174,"(17, 17791833)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-2,10.295630140987,4,3,2
